dataset,model,seed,split,direction,split_index,head_id,relation_id,tail_id,raw_rank,normalized_rank
mkg_w,NativE,1,dev,tail,1412,3562,5,6039,2,1
mkg_w,NativE,1,dev,tail,1519,2460,0,1162,2,1
mkg_w,NativE,1,dev,tail,1555,14089,14,10026,2,1
mkg_w,NativE,1,dev,tail,1638,152,29,295,4,3
mkg_w,NativE,1,dev,tail,1683,14123,9,815,2,1
mkg_w,NativE,1,dev,tail,1689,9349,93,4650,2,1
mkg_w,NativE,1,dev,tail,1701,8501,8,8500,2,1
mkg_w,NativE,1,dev,tail,1716,3415,8,3414,2,1
mkg_w,NativE,1,dev,tail,1726,5884,21,88,2,1
mkg_w,NativE,1,dev,tail,1748,3139,22,1638,2,1
mkg_w,NativE,1,dev,tail,1826,12829,13,4301,2,1
mkg_w,NativE,1,dev,tail,1850,11986,8,5914,2,1
mkg_w,NativE,1,dev,tail,1888,11616,14,14508,2,1
mkg_w,NativE,1,dev,tail,1897,4120,1,4769,2,1
mkg_w,NativE,1,dev,tail,2018,1489,22,1162,2,1
mkg_w,NativE,1,dev,tail,2100,374,29,2473,3,2
mkg_w,NativE,1,dev,tail,2135,1315,15,76,2,1
mkg_w,NativE,1,dev,tail,2173,3482,56,6019,2,1
mkg_w,NativE,1,dev,tail,2228,4654,22,305,2,1
mkg_w,NativE,1,dev,tail,2234,9908,14,8367,2,1
mkg_w,NativE,1,dev,tail,2258,4609,14,12036,2,1
mkg_w,NativE,1,dev,tail,2265,13395,8,7994,2,1
mkg_w,NativE,1,dev,tail,2330,4980,0,1076,4,3
mkg_w,NativE,1,dev,tail,2405,6477,18,1335,8,7
mkg_w,NativE,1,dev,tail,2433,12325,18,2917,2,1
mkg_w,NativE,1,dev,tail,2565,1849,29,1022,3,2
mkg_w,NativE,1,dev,tail,2614,2694,1,10748,3,2
mkg_w,NativE,1,dev,tail,2679,10768,8,10767,2,1
mkg_w,NativE,1,dev,tail,2726,4229,29,1338,3,2
mkg_w,NativE,1,dev,tail,2749,11413,8,11412,2,1
mkg_w,NativE,1,dev,tail,2793,7746,0,8044,3,2
mkg_w,NativE,1,dev,tail,2814,12887,59,3283,3,2
mkg_w,NativE,1,dev,tail,2828,4256,64,857,2,1
mkg_w,NativE,1,dev,tail,2900,1746,5,1747,2,1
mkg_w,NativE,1,dev,tail,2958,992,7,1494,2,1
mkg_w,NativE,1,dev,tail,2987,2801,59,930,2,1
mkg_w,NativE,1,dev,tail,2991,13742,0,1516,2,1
mkg_w,NativE,1,dev,tail,2995,2626,39,2625,3,2
mkg_w,NativE,1,dev,tail,3121,56,22,57,2,1
mkg_w,NativE,1,dev,tail,3125,3328,22,329,2,1
mkg_w,NativE,1,dev,tail,3131,13574,13,46,2,1
mkg_w,NativE,1,dev,tail,3189,12661,8,12660,2,1
mkg_w,NativE,1,dev,tail,3196,4468,8,13673,2,1
mkg_w,NativE,1,dev,tail,3284,13304,13,463,2,1
mkg_w,NativE,1,dev,tail,3391,11989,14,12612,2,1
mkg_w,NativE,1,dev,tail,3418,2199,29,152,3,2
mkg_w,NativE,1,dev,tail,3486,4147,18,1530,2,1
mkg_w,NativE,1,dev,tail,3511,6231,14,6230,2,1
mkg_w,NativE,1,dev,tail,3518,6848,8,6847,2,1
mkg_w,NativE,1,dev,tail,3538,2740,5,346,2,1
mkg_w,NativE,1,dev,tail,3594,815,26,814,4,3
mkg_w,NativE,1,dev,tail,3626,2066,1,691,2,1
mkg_w,NativE,1,dev,tail,3630,6400,39,3475,3,2
mkg_w,NativE,1,dev,tail,3646,1667,5,4422,2,1
mkg_w,NativE,1,dev,tail,3737,8630,18,4211,3,2
mkg_w,NativE,1,dev,tail,3767,9174,14,4047,2,1
mkg_w,NativE,1,dev,tail,3946,4337,8,13426,2,1
mkg_w,NativE,1,dev,tail,3947,4260,18,626,7,6
mkg_w,NativE,1,dev,tail,3956,3493,22,364,2,1
mkg_w,NativE,1,dev,tail,4019,6674,5,3868,2,1
mkg_w,NativE,1,dev,tail,4137,12719,18,10258,2,1
mkg_w,NativE,1,dev,tail,4182,5287,39,762,3,2
mkg_w,NativE,1,dev,tail,4231,10828,16,5064,2,1
mkg_w,NativE,1,dev,tail,4255,8867,64,788,2,1
mkg_w,NativE,1,dev,tail,4266,8259,46,472,2,1
mkg_w,NativE,1,test,head,75,6120,0,397,12,11
mkg_w,NativE,1,test,head,95,1181,18,1109,34,33
mkg_w,NativE,1,test,head,117,7510,1,5230,2,1
mkg_w,NativE,1,test,head,140,9254,26,2296,2,1
mkg_w,NativE,1,test,head,202,8954,1,205,2,1
mkg_w,NativE,1,test,head,233,1935,8,4144,2,1
mkg_w,NativE,1,test,head,259,9923,26,5352,2,1
mkg_w,NativE,1,test,head,271,11908,8,4315,2,1
mkg_w,NativE,1,test,head,303,11000,14,408,3,2
mkg_w,NativE,1,test,head,330,6206,111,1378,2,1
mkg_w,NativE,1,test,head,357,97,16,1352,2,1
mkg_w,NativE,1,test,head,400,8491,22,1881,2,1
mkg_w,NativE,1,test,head,422,11694,3,8749,3,2
mkg_w,NativE,1,test,head,562,6687,5,7560,2,1
mkg_w,NativE,1,test,head,599,11041,5,3097,3,2
mkg_w,NativE,1,test,head,613,10524,14,7168,2,1
mkg_w,NativE,1,test,head,614,9037,13,463,8,7
mkg_w,NativE,1,test,head,622,10561,1,5070,2,1
mkg_w,NativE,1,test,head,697,6934,79,697,7,6
mkg_w,NativE,1,test,head,712,10002,56,4067,18,17
mkg_w,NativE,1,test,head,741,6676,72,2473,2,1
mkg_w,NativE,1,test,head,801,8150,0,4668,3,2
mkg_w,NativE,1,test,head,821,1477,0,1069,15,14
mkg_w,NativE,1,test,head,830,5020,22,5021,2,1
mkg_w,NativE,1,test,head,864,11191,18,3956,4,3
mkg_w,NativE,1,test,head,899,8510,3,427,2,1
mkg_w,NativE,1,test,head,929,10140,34,553,10,9
mkg_w,NativE,1,test,head,974,13686,14,13685,2,1
mkg_w,NativE,1,test,head,994,1087,0,1881,3,2
mkg_w,NativE,1,test,head,1000,7566,0,721,9,8
mkg_w,NativE,1,test,head,1037,12511,5,5070,3,2
mkg_w,NativE,1,test,head,1055,9596,8,9595,2,1
mkg_w,NativE,1,test,head,1067,11803,22,9290,2,1
mkg_w,NativE,1,test,head,1112,850,90,1946,3,2
mkg_w,NativE,1,test,head,1178,4464,3,2504,2,1
mkg_w,NativE,1,test,head,1348,3078,22,942,3,2
mkg_w,NativE,1,test,head,1382,2696,7,975,16,15
mkg_w,NativE,1,test,head,1394,12407,13,5343,3,2
mkg_w,NativE,1,test,head,1608,7332,14,9542,2,1
mkg_w,NativE,1,test,head,1633,2185,0,2186,2,1
mkg_w,NativE,1,test,head,1651,3118,18,495,6,5
mkg_w,NativE,1,test,head,1652,13063,3,1630,2,1
mkg_w,NativE,1,test,head,1780,606,5,102,2,1
mkg_w,NativE,1,test,head,1903,10646,53,4346,10,9
mkg_w,NativE,1,test,head,1927,9349,53,706,2,1
mkg_w,NativE,1,test,head,1965,9756,14,9755,2,1
mkg_w,NativE,1,test,head,1996,7218,29,2832,3,2
mkg_w,NativE,1,test,head,2035,6511,5,8673,2,1
mkg_w,NativE,1,test,head,2098,6718,18,3375,36,35
mkg_w,NativE,1,test,head,2134,14343,14,14342,2,1
mkg_w,NativE,1,test,head,2186,13046,14,13045,2,1
mkg_w,NativE,1,test,head,2245,13224,19,2674,2,1
mkg_w,NativE,1,test,head,2273,13095,2,5,5,4
mkg_w,NativE,1,test,head,2289,5624,16,1287,2,1
mkg_w,NativE,1,test,head,2373,5026,0,1162,18,17
mkg_w,NativE,1,test,head,2416,4629,1,2131,2,1
mkg_w,NativE,1,test,head,2420,5687,7,2716,2,1
mkg_w,NativE,1,test,head,2462,14347,3,10152,2,1
mkg_w,NativE,1,test,head,2466,11848,14,11847,2,1
mkg_w,NativE,1,test,head,2467,1569,8,1568,2,1
mkg_w,NativE,1,test,head,2514,239,22,2222,6,5
mkg_w,NativE,1,test,head,2621,9963,56,2232,2,1
mkg_w,NativE,1,test,head,2652,2898,14,2897,2,1
mkg_w,NativE,1,test,head,2688,10647,0,342,8,7
mkg_w,NativE,1,test,head,2696,2183,56,5324,5,4
mkg_w,NativE,1,test,head,2717,5416,34,1970,2,1
mkg_w,NativE,1,test,head,2839,6212,0,721,10,9
mkg_w,NativE,1,test,head,2867,987,56,346,4,3
mkg_w,NativE,1,test,head,2896,8764,66,11122,2,1
mkg_w,NativE,1,test,head,2908,12237,33,2705,2,1
mkg_w,NativE,1,test,head,2929,12883,3,10580,2,1
mkg_w,NativE,1,test,head,2930,12235,14,1966,2,1
mkg_w,NativE,1,test,head,2952,1513,0,2466,6,5
mkg_w,NativE,1,test,head,2985,887,64,5289,4,3
mkg_w,NativE,1,test,head,3033,1059,74,1058,2,1
mkg_w,NativE,1,test,head,3093,2460,1,1490,7,6
mkg_w,NativE,1,test,head,3097,3206,8,127,2,1
mkg_w,NativE,1,test,head,3185,13202,18,1198,31,30
mkg_w,NativE,1,test,head,3194,2391,29,2473,3,2
mkg_w,NativE,1,test,head,3205,8905,18,1433,3,2
mkg_w,NativE,1,test,head,3208,6026,31,7923,5,4
mkg_w,NativE,1,test,head,3256,10948,5,100,3,2
mkg_w,NativE,1,test,head,3263,2920,18,1204,35,34
mkg_w,NativE,1,test,head,3280,9505,30,273,4,3
mkg_w,NativE,1,test,head,3377,9256,14,9255,2,1
mkg_w,NativE,1,test,head,3391,6714,8,6713,2,1
mkg_w,NativE,1,test,head,3449,2101,3,5406,2,1
mkg_w,NativE,1,test,head,3467,7221,5,1072,3,2
mkg_w,NativE,1,test,head,3600,7339,18,7626,2,1
mkg_w,NativE,1,test,head,3624,703,37,1573,5,4
mkg_w,NativE,1,test,head,3662,331,10,7998,6,5
mkg_w,NativE,1,test,head,3671,5940,11,2810,3,2
mkg_w,NativE,1,test,head,3930,1955,1,1881,2,1
mkg_w,NativE,1,test,head,4024,85,29,9040,3,2
mkg_w,NativE,1,test,head,4135,5436,0,1162,27,26
mkg_w,NativE,1,test,head,4136,925,18,2387,9,8
mkg_w,NativE,1,test,head,4234,9706,22,2232,2,1
mkg_w,NativE,1,test,tail,91,6840,22,1687,3,2
mkg_w,NativE,1,test,tail,134,6078,84,10917,2,1
mkg_w,NativE,1,test,tail,140,9254,26,2296,2,1
mkg_w,NativE,1,test,tail,161,7745,22,721,2,1
mkg_w,NativE,1,test,tail,233,1935,8,4144,2,1
mkg_w,NativE,1,test,tail,256,9966,14,9965,2,1
mkg_w,NativE,1,test,tail,271,11908,8,4315,2,1
mkg_w,NativE,1,test,tail,298,14227,8,14226,2,1
mkg_w,NativE,1,test,tail,306,8933,3,263,2,1
mkg_w,NativE,1,test,tail,312,4142,58,4143,2,1
mkg_w,NativE,1,test,tail,357,97,16,1352,2,1
mkg_w,NativE,1,test,tail,422,11694,3,8749,2,1
mkg_w,NativE,1,test,tail,426,5661,5,5021,2,1
mkg_w,NativE,1,test,tail,508,2741,56,4708,2,1
mkg_w,NativE,1,test,tail,524,12259,22,1435,2,1
mkg_w,NativE,1,test,tail,580,13084,22,7097,4,3
mkg_w,NativE,1,test,tail,599,11041,5,3097,2,1
mkg_w,NativE,1,test,tail,603,9628,5,962,2,1
mkg_w,NativE,1,test,tail,613,10524,14,7168,2,1
mkg_w,NativE,1,test,tail,614,9037,13,463,2,1
mkg_w,NativE,1,test,tail,633,152,29,8434,3,2
mkg_w,NativE,1,test,tail,644,204,22,205,2,1
mkg_w,NativE,1,test,tail,705,11970,15,76,2,1
mkg_w,NativE,1,test,tail,712,10002,56,4067,2,1
mkg_w,NativE,1,test,tail,725,4948,14,473,2,1
mkg_w,NativE,1,test,tail,744,5147,29,4199,2,1
mkg_w,NativE,1,test,tail,790,13557,1,1902,2,1
mkg_w,NativE,1,test,tail,801,8150,0,4668,3,2
mkg_w,NativE,1,test,tail,929,10140,34,553,2,1
mkg_w,NativE,1,test,tail,964,5956,37,3718,2,1
mkg_w,NativE,1,test,tail,974,13686,14,13685,2,1
mkg_w,NativE,1,test,tail,1055,9596,8,9595,2,1
mkg_w,NativE,1,test,tail,1067,11803,22,9290,2,1
mkg_w,NativE,1,test,tail,1079,7421,5,691,2,1
mkg_w,NativE,1,test,tail,1112,850,90,1946,3,2
mkg_w,NativE,1,test,tail,1138,7033,56,1041,2,1
mkg_w,NativE,1,test,tail,1160,5816,14,5815,2,1
mkg_w,NativE,1,test,tail,1178,4464,3,2504,2,1
mkg_w,NativE,1,test,tail,1190,5796,0,205,2,1
mkg_w,NativE,1,test,tail,1289,2541,7,346,2,1
mkg_w,NativE,1,test,tail,1295,11158,22,986,2,1
mkg_w,NativE,1,test,tail,1370,10532,34,1389,2,1
mkg_w,NativE,1,test,tail,1382,2696,7,975,2,1
mkg_w,NativE,1,test,tail,1405,12555,8,12554,2,1
mkg_w,NativE,1,test,tail,1521,13557,21,256,2,1
mkg_w,NativE,1,test,tail,1560,9169,0,802,2,1
mkg_w,NativE,1,test,tail,1582,5236,8,5235,2,1
mkg_w,NativE,1,test,tail,1595,1022,29,2683,3,2
mkg_w,NativE,1,test,tail,1608,7332,14,9542,2,1
mkg_w,NativE,1,test,tail,1633,2185,0,2186,2,1
mkg_w,NativE,1,test,tail,1652,13063,3,1630,2,1
mkg_w,NativE,1,test,tail,1667,3638,21,256,2,1
mkg_w,NativE,1,test,tail,1736,11607,0,342,2,1
mkg_w,NativE,1,test,tail,1764,3055,0,119,2,1
mkg_w,NativE,1,test,tail,1855,7393,1,2533,2,1
mkg_w,NativE,1,test,tail,1887,4265,21,88,2,1
mkg_w,NativE,1,test,tail,1903,10646,53,4346,3,2
mkg_w,NativE,1,test,tail,2063,6149,1,1435,3,2
mkg_w,NativE,1,test,tail,2102,43,0,910,2,1
mkg_w,NativE,1,test,tail,2166,6340,8,7835,2,1
mkg_w,NativE,1,test,tail,2179,4218,64,2327,2,1
mkg_w,NativE,1,test,tail,2208,2369,13,463,2,1
mkg_w,NativE,1,test,tail,2301,11264,8,11263,2,1
mkg_w,NativE,1,test,tail,2358,10667,5,7560,2,1
mkg_w,NativE,1,test,tail,2373,5026,0,1162,2,1
mkg_w,NativE,1,test,tail,2450,7846,22,721,2,1
mkg_w,NativE,1,test,tail,2462,14347,3,10152,2,1
mkg_w,NativE,1,test,tail,2479,9346,13,46,2,1
mkg_w,NativE,1,test,tail,2491,4137,14,11371,4,3
mkg_w,NativE,1,test,tail,2514,239,22,2222,2,1
mkg_w,NativE,1,test,tail,2522,6346,34,553,2,1
mkg_w,NativE,1,test,tail,2542,10214,11,1299,2,1
mkg_w,NativE,1,test,tail,2543,2499,22,721,2,1
mkg_w,NativE,1,test,tail,2573,7193,15,76,2,1
mkg_w,NativE,1,test,tail,2652,2898,14,2897,2,1
mkg_w,NativE,1,test,tail,2693,1751,22,2225,2,1
mkg_w,NativE,1,test,tail,2696,2183,56,5324,2,1
mkg_w,NativE,1,test,tail,2708,6043,8,6042,2,1
mkg_w,NativE,1,test,tail,2736,3084,72,2473,2,1
mkg_w,NativE,1,test,tail,2752,7776,21,88,2,1
mkg_w,NativE,1,test,tail,2789,2969,0,3296,2,1
mkg_w,NativE,1,test,tail,2805,5169,59,1370,2,1
mkg_w,NativE,1,test,tail,2822,9421,34,553,2,1
mkg_w,NativE,1,test,tail,2854,11615,15,76,2,1
mkg_w,NativE,1,test,tail,2865,11794,23,13327,2,1
mkg_w,NativE,1,test,tail,2867,987,56,346,3,2
mkg_w,NativE,1,test,tail,2873,1903,22,1687,2,1
mkg_w,NativE,1,test,tail,2896,8764,66,11122,2,1
mkg_w,NativE,1,test,tail,2898,2484,22,2415,3,2
mkg_w,NativE,1,test,tail,2926,3560,37,1573,2,1
mkg_w,NativE,1,test,tail,2929,12883,3,10580,2,1
mkg_w,NativE,1,test,tail,2930,12235,14,1966,2,1
mkg_w,NativE,1,test,tail,2985,887,64,5289,2,1
mkg_w,NativE,1,test,tail,3005,7753,1,2476,2,1
mkg_w,NativE,1,test,tail,3065,11086,1,721,2,1
mkg_w,NativE,1,test,tail,3111,7147,23,13462,2,1
mkg_w,NativE,1,test,tail,3185,13202,18,1198,2,1
mkg_w,NativE,1,test,tail,3194,2391,29,2473,3,2
mkg_w,NativE,1,test,tail,3205,8905,18,1433,2,1
mkg_w,NativE,1,test,tail,3263,2920,18,1204,2,1
mkg_w,NativE,1,test,tail,3286,2270,0,2271,2,1
mkg_w,NativE,1,test,tail,3359,4221,13,46,2,1
mkg_w,NativE,1,test,tail,3391,6714,8,6713,2,1
mkg_w,NativE,1,test,tail,3443,3890,22,305,2,1
mkg_w,NativE,1,test,tail,3450,14706,13,463,2,1
mkg_w,NativE,1,test,tail,3489,3783,1,7368,2,1
mkg_w,NativE,1,test,tail,3620,10671,42,10670,3,2
mkg_w,NativE,1,test,tail,3624,703,37,1573,2,1
mkg_w,NativE,1,test,tail,3628,13047,3,543,2,1
mkg_w,NativE,1,test,tail,3683,4503,0,2574,2,1
mkg_w,NativE,1,test,tail,3684,762,39,2664,3,2
mkg_w,NativE,1,test,tail,3713,13445,14,13444,2,1
mkg_w,NativE,1,test,tail,3799,2340,64,1809,2,1
mkg_w,NativE,1,test,tail,3920,5227,18,7457,3,2
mkg_w,NativE,1,test,tail,3930,1955,1,1881,2,1
mkg_w,NativE,1,test,tail,4024,85,29,9040,3,2
mkg_w,NativE,1,test,tail,4039,12672,14,12671,2,1
mkg_w,NativE,1,test,tail,4078,373,29,8434,3,2
mkg_w,NativE,1,test,tail,4082,9751,14,9750,2,1
mkg_w,NativE,1,test,tail,4122,8797,0,2574,3,2
mkg_w,NativE,2,dev,head,47,1803,1,205,2,1
mkg_w,NativE,2,dev,head,57,12269,14,3537,2,1
mkg_w,NativE,2,dev,head,77,724,29,4750,3,2
mkg_w,NativE,2,dev,head,136,2040,6,19,17,16
mkg_w,NativE,2,dev,head,144,2106,22,1638,5,4
mkg_w,NativE,2,dev,head,150,373,29,2832,3,2
mkg_w,NativE,2,dev,head,219,5033,8,6174,2,1
mkg_w,NativE,2,dev,head,232,7067,0,4141,11,10
mkg_w,NativE,2,dev,head,378,727,4,19,18,17
mkg_w,NativE,2,dev,head,391,2399,18,5315,30,29
mkg_w,NativE,2,dev,head,426,7878,11,2816,2,1
mkg_w,NativE,2,dev,head,564,5153,18,3767,7,6
mkg_w,NativE,2,dev,head,679,12731,5,1542,3,2
mkg_w,NativE,2,dev,head,732,10880,8,10879,2,1
mkg_w,NativE,2,dev,head,742,1788,1,5525,2,1
mkg_w,NativE,2,dev,head,813,13152,0,2682,2,1
mkg_w,NativE,2,dev,head,841,14303,1,3034,2,1
mkg_w,NativE,2,dev,head,861,9492,15,76,15,14
mkg_w,NativE,2,dev,head,870,1713,29,340,3,2
mkg_w,NativE,2,dev,head,949,10151,8,14347,2,1
mkg_w,NativE,2,dev,head,995,2047,56,6019,2,1
mkg_w,NativE,2,dev,head,1062,5329,7,1001,15,14
mkg_w,NativE,2,dev,head,1160,11508,5,3075,2,1
mkg_w,NativE,2,dev,head,1240,10545,22,305,2,1
mkg_w,NativE,2,dev,head,1259,1605,15,76,15,14
mkg_w,NativE,2,dev,head,1267,5089,14,5088,2,1
mkg_w,NativE,2,dev,head,1290,814,29,2684,3,2
mkg_w,NativE,2,dev,head,1300,7845,1,2521,2,1
mkg_w,NativE,2,dev,head,1371,9372,5,90,3,2
mkg_w,NativE,2,dev,head,1421,12428,3,2025,2,1
mkg_w,NativE,2,dev,head,1446,13300,32,1233,4,3
