pair,label,split,comparator,stratum,repetitions,left_units,right_units,retained_units,retained_observations
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,65,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,66,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,67,10,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,68,11,1,1,1,11
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,69,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,70,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,71,1,945,945,945,945
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,72,2,27,27,27,54
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,73,3,2,2,2,6
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,74,4,3,3,3,12
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,75,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,76,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,77,9,1,1,1,9
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,78,10,1,1,1,10
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,79,12,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,80,15,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,81,89,1,1,1,89
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,82,1,969,969,969,969
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,83,2,37,37,37,74
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,84,3,7,7,7,21
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,85,4,3,3,3,12
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,86,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,87,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,88,8,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,89,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,90,16,1,1,1,16
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,91,85,1,1,1,85
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,92,1,943,943,943,943
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,93,2,35,35,35,70
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,94,3,3,3,3,9
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,95,4,1,1,1,4
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,96,6,1,1,1,6
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,97,9,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,98,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,99,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,100,1,902,807,807,807
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,101,2,21,21,21,42
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,102,3,4,4,4,12
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,103,4,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,104,5,1,1,1,5
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,105,7,1,1,1,7
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,106,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,107,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,108,86,1,1,1,86
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,109,1,849,776,776,776
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,110,2,26,25,25,50
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,111,3,1,1,1,3
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,112,4,1,1,1,4
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,113,5,1,1,1,5
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,114,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,115,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,116,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,117,10,1,1,1,10
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,118,11,1,1,1,11
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,119,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,120,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,121,1,841,841,841,841
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,122,2,35,35,35,70
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,123,3,1,1,1,3
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,124,4,5,5,5,20
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,125,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,126,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,127,9,1,1,1,9
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,128,10,1,1,1,10
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,129,12,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,130,15,1,1,1,15
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,131,89,1,1,1,89
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,132,1,873,873,873,873
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,133,2,38,38,38,76
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,134,3,6,6,6,18
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,135,4,3,3,3,12
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,136,6,1,1,1,6
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,137,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,138,8,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,139,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,140,16,1,1,1,16
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,141,85,1,1,1,85
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,142,1,877,877,877,877
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,143,2,37,37,37,74
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,144,3,5,5,5,15
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,145,4,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,146,6,1,1,1,6
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,147,9,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,148,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,149,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Linear-p,0,1,910,910,910,910
mkgw_mhyper_native,W-N,dev_oof,Linear-p,1,2,22,22,22,44
mkgw_mhyper_native,W-N,dev_oof,Linear-p,2,3,4,4,4,12
mkgw_mhyper_native,W-N,dev_oof,Linear-p,3,4,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,4,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,5,7,1,1,1,7
mkgw_mhyper_native,W-N,dev_oof,Linear-p,6,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Linear-p,7,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Linear-p,8,86,1,1,1,86
mkgw_mhyper_native,W-N,dev_oof,Linear-p,9,1,845,845,845,845
mkgw_mhyper_native,W-N,dev_oof,Linear-p,10,2,25,25,25,50
mkgw_mhyper_native,W-N,dev_oof,Linear-p,11,3,1,1,1,3
mkgw_mhyper_native,W-N,dev_oof,Linear-p,12,4,1,1,1,4
mkgw_mhyper_native,W-N,dev_oof,Linear-p,13,5,1,1,1,5
mkgw_mhyper_native,W-N,dev_oof,Linear-p,14,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,15,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,16,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Linear-p,17,10,1,1,1,10
mkgw_mhyper_native,W-N,dev_oof,Linear-p,18,11,1,1,1,11
mkgw_mhyper_native,W-N,dev_oof,Linear-p,19,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,20,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Linear-p,21,1,861,861,861,861
mkgw_mhyper_native,W-N,dev_oof,Linear-p,22,2,34,34,34,68
mkgw_mhyper_native,W-N,dev_oof,Linear-p,23,3,1,1,1,3
mkgw_mhyper_native,W-N,dev_oof,Linear-p,24,4,4,4,4,16
mkgw_mhyper_native,W-N,dev_oof,Linear-p,25,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,26,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,27,9,1,1,1,9
mkgw_mhyper_native,W-N,dev_oof,Linear-p,28,10,1,1,1,10
mkgw_mhyper_native,W-N,dev_oof,Linear-p,29,12,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,30,15,1,1,1,15
mkgw_mhyper_native,W-N,dev_oof,Linear-p,31,89,1,1,1,89
mkgw_mhyper_native,W-N,dev_oof,Linear-p,32,1,885,885,885,885
mkgw_mhyper_native,W-N,dev_oof,Linear-p,33,2,36,36,36,72
mkgw_mhyper_native,W-N,dev_oof,Linear-p,34,3,5,5,5,15
mkgw_mhyper_native,W-N,dev_oof,Linear-p,35,4,3,3,3,12
mkgw_mhyper_native,W-N,dev_oof,Linear-p,36,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,37,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,38,8,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,39,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,40,16,1,1,1,16
mkgw_mhyper_native,W-N,dev_oof,Linear-p,41,85,1,1,1,85
mkgw_mhyper_native,W-N,dev_oof,Linear-p,42,1,873,873,873,873
mkgw_mhyper_native,W-N,dev_oof,Linear-p,43,2,36,36,36,72
mkgw_mhyper_native,W-N,dev_oof,Linear-p,44,3,5,5,5,15
mkgw_mhyper_native,W-N,dev_oof,Linear-p,45,4,1,1,1,4
mkgw_mhyper_native,W-N,dev_oof,Linear-p,46,6,1,1,1,6
mkgw_mhyper_native,W-N,dev_oof,Linear-p,47,9,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,48,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Linear-p,49,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Linear-p,50,1,923,923,923,923
mkgw_mhyper_native,W-N,dev_oof,Linear-p,51,2,16,16,16,32
mkgw_mhyper_native,W-N,dev_oof,Linear-p,52,3,3,3,3,9
mkgw_mhyper_native,W-N,dev_oof,Linear-p,53,4,1,1,1,4
mkgw_mhyper_native,W-N,dev_oof,Linear-p,54,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,55,7,1,1,1,7
mkgw_mhyper_native,W-N,dev_oof,Linear-p,56,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Linear-p,57,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Linear-p,58,86,1,1,1,86
mkgw_mhyper_native,W-N,dev_oof,Linear-p,59,1,894,894,894,894
mkgw_mhyper_native,W-N,dev_oof,Linear-p,60,2,25,25,25,50
mkgw_mhyper_native,W-N,dev_oof,Linear-p,61,3,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,62,4,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,63,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,64,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,65,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,66,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Linear-p,67,10,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,68,11,1,1,1,11
mkgw_mhyper_native,W-N,dev_oof,Linear-p,69,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,70,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Linear-p,71,1,945,945,945,945
mkgw_mhyper_native,W-N,dev_oof,Linear-p,72,2,27,27,27,54
mkgw_mhyper_native,W-N,dev_oof,Linear-p,73,3,2,2,2,6
mkgw_mhyper_native,W-N,dev_oof,Linear-p,74,4,3,3,3,12
mkgw_mhyper_native,W-N,dev_oof,Linear-p,75,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,76,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,77,9,1,1,1,9
mkgw_mhyper_native,W-N,dev_oof,Linear-p,78,10,1,1,1,10
mkgw_mhyper_native,W-N,dev_oof,Linear-p,79,12,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,80,15,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,81,89,1,1,1,89
mkgw_mhyper_native,W-N,dev_oof,Linear-p,82,1,969,969,969,969
mkgw_mhyper_native,W-N,dev_oof,Linear-p,83,2,37,37,37,74
mkgw_mhyper_native,W-N,dev_oof,Linear-p,84,3,7,7,7,21
mkgw_mhyper_native,W-N,dev_oof,Linear-p,85,4,3,3,3,12
mkgw_mhyper_native,W-N,dev_oof,Linear-p,86,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,87,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,88,8,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,89,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,90,16,1,1,1,16
mkgw_mhyper_native,W-N,dev_oof,Linear-p,91,85,1,1,1,85
mkgw_mhyper_native,W-N,dev_oof,Linear-p,92,1,943,943,943,943
mkgw_mhyper_native,W-N,dev_oof,Linear-p,93,2,35,35,35,70
mkgw_mhyper_native,W-N,dev_oof,Linear-p,94,3,3,3,3,9
mkgw_mhyper_native,W-N,dev_oof,Linear-p,95,4,1,1,1,4
mkgw_mhyper_native,W-N,dev_oof,Linear-p,96,6,1,1,1,6
mkgw_mhyper_native,W-N,dev_oof,Linear-p,97,9,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,98,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Linear-p,99,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Linear-p,100,1,902,902,902,902
mkgw_mhyper_native,W-N,dev_oof,Linear-p,101,2,21,21,21,42
mkgw_mhyper_native,W-N,dev_oof,Linear-p,102,3,4,4,4,12
mkgw_mhyper_native,W-N,dev_oof,Linear-p,103,4,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,104,5,1,1,1,5
mkgw_mhyper_native,W-N,dev_oof,Linear-p,105,7,1,1,1,7
mkgw_mhyper_native,W-N,dev_oof,Linear-p,106,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Linear-p,107,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Linear-p,108,86,1,1,1,86
mkgw_mhyper_native,W-N,dev_oof,Linear-p,109,1,849,849,849,849
mkgw_mhyper_native,W-N,dev_oof,Linear-p,110,2,26,26,26,52
mkgw_mhyper_native,W-N,dev_oof,Linear-p,111,3,1,1,1,3
mkgw_mhyper_native,W-N,dev_oof,Linear-p,112,4,1,1,1,4
mkgw_mhyper_native,W-N,dev_oof,Linear-p,113,5,1,1,1,5
mkgw_mhyper_native,W-N,dev_oof,Linear-p,114,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,115,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,116,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Linear-p,117,10,1,1,1,10
mkgw_mhyper_native,W-N,dev_oof,Linear-p,118,11,1,1,1,11
mkgw_mhyper_native,W-N,dev_oof,Linear-p,119,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,120,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Linear-p,121,1,841,841,841,841
mkgw_mhyper_native,W-N,dev_oof,Linear-p,122,2,35,35,35,70
mkgw_mhyper_native,W-N,dev_oof,Linear-p,123,3,1,1,1,3
mkgw_mhyper_native,W-N,dev_oof,Linear-p,124,4,5,5,5,20
mkgw_mhyper_native,W-N,dev_oof,Linear-p,125,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,126,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,127,9,1,1,1,9
mkgw_mhyper_native,W-N,dev_oof,Linear-p,128,10,1,1,1,10
mkgw_mhyper_native,W-N,dev_oof,Linear-p,129,12,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,130,15,1,1,1,15
mkgw_mhyper_native,W-N,dev_oof,Linear-p,131,89,1,1,1,89
mkgw_mhyper_native,W-N,dev_oof,Linear-p,132,1,873,873,873,873
mkgw_mhyper_native,W-N,dev_oof,Linear-p,133,2,38,38,38,76
mkgw_mhyper_native,W-N,dev_oof,Linear-p,134,3,6,6,6,18
mkgw_mhyper_native,W-N,dev_oof,Linear-p,135,4,3,3,3,12
mkgw_mhyper_native,W-N,dev_oof,Linear-p,136,6,1,1,1,6
mkgw_mhyper_native,W-N,dev_oof,Linear-p,137,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,138,8,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,139,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,140,16,1,1,1,16
mkgw_mhyper_native,W-N,dev_oof,Linear-p,141,85,1,1,1,85
mkgw_mhyper_native,W-N,dev_oof,Linear-p,142,1,877,877,877,877
mkgw_mhyper_native,W-N,dev_oof,Linear-p,143,2,37,37,37,74
mkgw_mhyper_native,W-N,dev_oof,Linear-p,144,3,5,5,5,15
mkgw_mhyper_native,W-N,dev_oof,Linear-p,145,4,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,146,6,1,1,1,6
mkgw_mhyper_native,W-N,dev_oof,Linear-p,147,9,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Linear-p,148,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Linear-p,149,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Clip-g,0,1,910,910,910,910
mkgw_mhyper_native,W-N,dev_oof,Clip-g,1,2,22,22,22,44
mkgw_mhyper_native,W-N,dev_oof,Clip-g,2,3,4,4,4,12
mkgw_mhyper_native,W-N,dev_oof,Clip-g,3,4,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Clip-g,4,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Clip-g,5,7,1,1,1,7
mkgw_mhyper_native,W-N,dev_oof,Clip-g,6,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Clip-g,7,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Clip-g,8,86,1,1,1,86
mkgw_mhyper_native,W-N,dev_oof,Clip-g,9,1,845,845,845,845
mkgw_mhyper_native,W-N,dev_oof,Clip-g,10,2,25,25,25,50
mkgw_mhyper_native,W-N,dev_oof,Clip-g,11,3,1,1,1,3
mkgw_mhyper_native,W-N,dev_oof,Clip-g,12,4,1,1,1,4
mkgw_mhyper_native,W-N,dev_oof,Clip-g,13,5,1,1,1,5
mkgw_mhyper_native,W-N,dev_oof,Clip-g,14,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Clip-g,15,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Clip-g,16,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Clip-g,17,10,1,1,1,10
mkgw_mhyper_native,W-N,dev_oof,Clip-g,18,11,1,1,1,11
mkgw_mhyper_native,W-N,dev_oof,Clip-g,19,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Clip-g,20,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Clip-g,21,1,861,861,861,861
mkgw_mhyper_native,W-N,dev_oof,Clip-g,22,2,34,34,34,68
mkgw_mhyper_native,W-N,dev_oof,Clip-g,23,3,1,1,1,3
mkgw_mhyper_native,W-N,dev_oof,Clip-g,24,4,4,4,4,16
mkgw_mhyper_native,W-N,dev_oof,Clip-g,25,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Clip-g,26,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Clip-g,27,9,1,1,1,9
mkgw_mhyper_native,W-N,dev_oof,Clip-g,28,10,1,1,1,10
mkgw_mhyper_native,W-N,dev_oof,Clip-g,29,12,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Clip-g,30,15,1,1,1,15
mkgw_mhyper_native,W-N,dev_oof,Clip-g,31,89,1,1,1,89
mkgw_mhyper_native,W-N,dev_oof,Clip-g,32,1,885,885,885,885
mkgw_mhyper_native,W-N,dev_oof,Clip-g,33,2,36,36,36,72
mkgw_mhyper_native,W-N,dev_oof,Clip-g,34,3,5,5,5,15
mkgw_mhyper_native,W-N,dev_oof,Clip-g,35,4,3,3,3,12
mkgw_mhyper_native,W-N,dev_oof,Clip-g,36,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Clip-g,37,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Clip-g,38,8,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Clip-g,39,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Clip-g,40,16,1,1,1,16
mkgw_mhyper_native,W-N,dev_oof,Clip-g,41,85,1,1,1,85
mkgw_mhyper_native,W-N,dev_oof,Clip-g,42,1,873,873,873,873
mkgw_mhyper_native,W-N,dev_oof,Clip-g,43,2,36,36,36,72
